category,sample_id,gold_num_calls,official_win,strict,partial,execution,final_answer_pass,exec_cap,num_successful_calls,pred_names,stop_reason,n_turns
exec_high_win0,afa68574-5967-449d-88ec-ad7dbf49524e,3,0.0,0.0,0.5333333333333333,0.9333333333333333,1.0,,3,divide|divide|divide,terminal,4
exec_high_win0,98cad833-bb80-4583-9158-b9d1984eec6e,2,0.0,0.0,0.7899999999999999,0.97,1.0,,2,hypotenuse_length|ode_model,terminal,3
exec_high_win0,18c1e7de-838f-402c-b0eb-92740963761e,2,0.0,1.0,1.0,1.0,1.0,,2,find_interval_distance|int_to_base_n,terminal,3
exec_high_win0,729c6e87-1e07-469d-9df2-301abb1bb172,3,0.0,1.0,1.0,1.0,1.0,,3,format_scalar|merge_and_override|random_key,terminal,4
exec_high_win0,d4346b01-3102-448b-a5c1-191cc401bd21,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,cube_integer_sum|hash_ascii_string,executor_error,2
exec_high_win0,ed9416d7-f389-44e7-8a8c-3b7b7f7e9561,2,0.0,0.0,0.3,0.825,1.0,,1,divide,terminal,2
exec_high_win0,9abbe8fb-bcc9-4ea6-91f9-e23c24cf0f60,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,make_json_string|tokenize_sentence,executor_error,2
exec_high_win0,000a5224-26c5-484b-948e-92df48c1b6af,2,0.0,1.0,1.0,1.0,1.0,,2,smallest_unused_number|format_line,terminal,3
exec_high_win0,a7688b81-3977-4139-958f-dde7f2ad50ce,2,0.0,1.0,1.0,1.0,1.0,,2,merge_recursive|wrap_text_with_tag,terminal,3
exec_high_win0,714d3faf-b9d9-42a7-95b5-610d47e43332,3,0.0,0.0,0.46333333333333326,0.7233333333333334,1.0,,1,subtract|divide,executor_error,2
exec_high_win0,c5b3ca75-d50d-4e5a-aab1-6f95491f4538,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,int_factorial|max_number,executor_error,2
exec_high_win0,c05709fb-667e-4fa6-b263-ec3a59cf1d37,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,replace_with_ascii|replace_brackets_with_ids,executor_error,2
exec_high_win0,b6835357-8b9f-4f3b-ad07-1b79d2ed2b44,2,0.0,0.0,0.43999999999999995,0.845,1.0,,1,generate_colors,terminal,2
exec_high_win0,742a20eb-9287-47e0-8efb-778db68135a1,2,0.0,1.0,1.0,1.0,1.0,,2,separate_with_hyphens|index,terminal,3
exec_high_win0,70666870-66fb-462b-96b1-2739e36a0f60,4,0.0,0.0,0.3,0.9,1.0,,5,add|inverse|inverse|add|multiply,max_turns,5
exec_high_win0,cbf86830-fe0a-4c67-9ac5-b88acf6f5ce3,2,0.0,1.0,1.0,1.0,1.0,,2,convert_string_to_list_of_bytes|reservoir_sample,terminal,3
exec_high_win0,9e370e34-2cac-4df3-80dd-7d8142fc7c88,2,0.0,0.0,0.895,0.8099999999999999,1.0,,1,get_euro_date|pad_string_left,executor_error,2
strict_fail,87357303-b2c2-4c34-8a51-5c2755de4fe4,2,1.0,0.0,0.58,0.9400000000000001,1.0,,2,compute_mean|modular_exponentiation,terminal,3
strict_fail,2effd81d-6cc7-4291-a06f-ad803a993312,8,1.0,0.0,0.0,0.31875,0.0,,1,divide,terminal,2
strict_fail,0feb53d5-e450-4a1e-b0ad-13bc7097a92e,12,0.0,0.0,0.11666666666666665,0.3791666666666667,0.0,,5,multiply|multiply|multiply|multiply|divide,terminal,6
strict_fail,790c3f9b-0ecb-4a1a-b2ca-bc0bbf83335b,6,1.0,0.0,0.3,0.775,1.0,,1,divide,terminal,2
strict_fail,96b854ff-3f52-4295-8a93-bfe204a4469b,11,1.0,0.0,0.3,0.7636363636363637,1.0,,1,divide,terminal,2
strict_fail,c9828beb-8c3c-4ecd-8fd4-0795eec10f73,2,0.0,0.0,0.35,0.425,0.0,,1,multiply,terminal,2
strict_fail,2e458b03-c3d8-4794-8fc6-25f505ecbdc1,3,1.0,0.0,0.3,0.8,1.0,,1,add,terminal,2
strict_fail,f9ebc5c7-fafb-4b4b-ae3f-8f4f10f5ca31,3,1.0,0.0,0.7666666666666666,0.9666666666666667,1.0,,3,multiply|add|divide,terminal,4
strict_fail,afa68574-5967-449d-88ec-ad7dbf49524e,3,0.0,0.0,0.5333333333333333,0.9333333333333333,1.0,,3,divide|divide|divide,terminal,4
strict_fail,4117385e-9a3b-4770-b562-279b65b0a135,3,1.0,0.0,0.5333333333333333,0.9333333333333333,1.0,,3,subtract|subtract|multiply,terminal,4
strict_fail,ae7cc681-a44c-4143-8bf2-a2a9680acf0d,11,1.0,0.0,0.36363636363636365,0.7727272727272727,1.0,,1,divide,terminal,2
strict_fail,54dcea4e-ec58-4a97-a7c7-f7c5e7396145,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
strict_fail,9c4c6a80-d210-46e3-bb30-8ab2ca8e8f3a,13,1.0,0.0,0.46153846153846156,0.8307692307692308,1.0,,5,multiply|multiply|add|divide|multiply,terminal,6
strict_fail,f8d3c4a4-aeb8-4efb-baa6-cf8a6d36b330,2,1.0,0.0,0.7,0.5499999999999999,1.0,,2,convert_to_ascii_codes|find_extremes,terminal,3
strict_fail,a335f79c-d1e2-4f67-a414-bf94fc53323b,3,0.0,0.0,0.7,0.5499999999999999,0.0,,3,generate_random_unique_string|format_camel_case|text_center,terminal,4
strict_fail,f6aa4233-451e-4e33-abe1-451a313b6fec,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
strict_fail,15c44ed2-3566-4319-b273-97c4c86fee73,5,0.0,0.0,0.13999999999999999,0.35000000000000003,0.0,,1,multiply,terminal,2
strict_fail,e777b240-2ff0-4ec1-b9e1-eb656aaa8758,3,0.0,0.0,0.2333333333333333,0.3833333333333333,0.0,,1,subtract,terminal,2
strict_fail,50bf739b-0f67-4b0e-9586-68baef74326a,2,1.0,0.0,0.3,0.825,1.0,,1,add,terminal,2
strict_fail,577a4547-9566-49d5-a1f9-8ec7720aa38a,2,1.0,0.0,0.7899999999999999,0.97,1.0,,2,reverse_vowels|create_md5_hash,terminal,3
no_tool_call,54dcea4e-ec58-4a97-a7c7-f7c5e7396145,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,f6aa4233-451e-4e33-abe1-451a313b6fec,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,bb46cc44-30ae-4d51-9d6a-e9a7f1e3b205,6,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,21611a3d-1312-4ca5-a55d-53ac907b8b95,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,1bbfe06b-1180-4a6e-b212-29243120dfb2,9,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,a7f3e2d8-d639-488d-97c5-2e51f42ad83e,2,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,2a886f5d-91ad-4a5d-b6d4-4e981cc894af,5,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,4ce918cf-d712-4995-a4e8-35bbe15ed6be,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,8ce1315f-834f-423a-8b22-6d4abaab4a7a,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,262ed5c8-1e4b-45b0-ae60-13ef3433b303,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,41b60c1c-6d88-4a34-9242-2aacf2837738,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,90833d9c-8ace-4e01-be65-b92f432670de,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,fe3ebaf1-4861-425f-a681-3ed6815e4f24,8,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,9bb69164-80c4-4c4e-a9d2-fa3fa8bee4e3,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,100cb8c9-03ec-428f-ad0c-75e2fc296aaa,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,0ad0e667-db2a-4513-8cf6-34ce21840bca,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,9c8fd5d9-bd78-4274-80d9-d9d30c15eaa5,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,e2cf1726-9a4d-4cb1-a32f-5f5e9ba0d3c4,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,00fd73c1-50e8-47a9-9d20-82a730c02de3,3,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
no_tool_call,87b5d6f9-199e-4e83-8392-86f03e175ca6,11,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
too_few_calls,2effd81d-6cc7-4291-a06f-ad803a993312,8,1.0,0.0,0.0,0.31875,0.0,,1,divide,terminal,2
too_few_calls,0feb53d5-e450-4a1e-b0ad-13bc7097a92e,12,0.0,0.0,0.11666666666666665,0.3791666666666667,0.0,,5,multiply|multiply|multiply|multiply|divide,terminal,6
too_few_calls,790c3f9b-0ecb-4a1a-b2ca-bc0bbf83335b,6,1.0,0.0,0.3,0.775,1.0,,1,divide,terminal,2
too_few_calls,96b854ff-3f52-4295-8a93-bfe204a4469b,11,1.0,0.0,0.3,0.7636363636363637,1.0,,1,divide,terminal,2
too_few_calls,c9828beb-8c3c-4ecd-8fd4-0795eec10f73,2,0.0,0.0,0.35,0.425,0.0,,1,multiply,terminal,2
too_few_calls,2e458b03-c3d8-4794-8fc6-25f505ecbdc1,3,1.0,0.0,0.3,0.8,1.0,,1,add,terminal,2
too_few_calls,ae7cc681-a44c-4143-8bf2-a2a9680acf0d,11,1.0,0.0,0.36363636363636365,0.7727272727272727,1.0,,1,divide,terminal,2
too_few_calls,54dcea4e-ec58-4a97-a7c7-f7c5e7396145,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
too_few_calls,9c4c6a80-d210-46e3-bb30-8ab2ca8e8f3a,13,1.0,0.0,0.46153846153846156,0.8307692307692308,1.0,,5,multiply|multiply|add|divide|multiply,terminal,6
too_few_calls,f6aa4233-451e-4e33-abe1-451a313b6fec,4,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
too_few_calls,15c44ed2-3566-4319-b273-97c4c86fee73,5,0.0,0.0,0.13999999999999999,0.35000000000000003,0.0,,1,multiply,terminal,2
too_few_calls,e777b240-2ff0-4ec1-b9e1-eb656aaa8758,3,0.0,0.0,0.2333333333333333,0.3833333333333333,0.0,,1,subtract,terminal,2
too_few_calls,50bf739b-0f67-4b0e-9586-68baef74326a,2,1.0,0.0,0.3,0.825,1.0,,1,add,terminal,2
too_few_calls,bf3b7001-69c4-45e7-8727-b9fd79149527,2,0.0,0.0,0.0,0.1,0.0,,0,is_yes_no_question,executor_error,1
too_few_calls,5ccb1855-93e1-4276-884f-f3a035edac0a,6,1.0,0.0,0.7666666666666666,0.9416666666666667,1.0,,5,multiply|multiply|add|subtract|divide,terminal,6
too_few_calls,80906cae-8547-47ad-863b-9db070fd41ae,4,1.0,0.0,0.475,0.8125,1.0,,1,divide,terminal,2
too_few_calls,fc8a9de4-dbbd-4a43-b86f-e331c5ab6199,3,0.0,0.0,0.4666666666666666,0.4666666666666667,0.0,,2,add|divide,terminal,3
too_few_calls,1cea2017-6b5e-4d6c-969e-9d72f58cdc7a,2,0.0,0.0,0.595,0.36000000000000004,0.0,,1,title_version|substring_check,executor_error,2
too_few_calls,bb46cc44-30ae-4d51-9d6a-e9a7f1e3b205,6,0.0,0.0,0.0,0.0,0.0,no_tool_call,0,,terminal,1
too_few_calls,65148711-a63a-4d3f-98f7-192c73c15ac1,5,0.0,0.0,0.13999999999999999,0.44000000000000006,0.0,,4,multiply|divide|divide|subtract,terminal,5
